Date,open,high,low,close,mean_candle,label,action,%body,%upper-shadow,%lower-shadow,MA,trend,open_norm,high_norm,low_norm,close_norm
2018/2/28,16.49,16.49,16.49,16.49,16.49,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'morning star', 'spanning top']",None,,,,18.296499999999973,0,0.2650327728697634,0.2650327728697634,0.2650327728697634,0.2650327728697634
2018/3/1,16.58,16.58,16.58,16.58,16.58,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'spanning top']",None,,,,18.318999999999974,0,0.2675976061555998,0.2675976061555998,0.2675976061555998,0.2675976061555998
2018/3/2,16.69,16.69,16.69,16.69,16.69,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'spanning top']",None,,,,18.264999999999976,0,0.2707324023938444,0.2707324023938444,0.2707324023938444,0.2707324023938444
2018/3/5,15.79,15.79,15.79,15.79,15.79,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'evening star', 'doji', 'spanning top']",None,,,,18.17549999999998,0,0.24508406953548012,0.24508406953548012,0.24508406953548012,0.24508406953548012
2018/3/6,15.85,15.85,15.85,15.85,15.85,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'morning star', 'spanning top']",None,,,,18.007999999999978,0,0.24679395839270446,0.24679395839270446,0.24679395839270446,0.24679395839270446
2018/3/7,16.11,16.11,16.11,16.11,16.11,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'spanning top']",None,,,,17.87249999999998,0,0.2542034767740096,0.2542034767740096,0.2542034767740096,0.2542034767740096
2018/3/8,15.66,15.66,15.66,15.66,15.66,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'evening star', 'doji', 'falling three methods', 'spanning top']",None,,,,17.69549999999998,0,0.24137931034482757,0.24137931034482757,0.24137931034482757,0.24137931034482757
2018/3/9,15.15,15.15,15.15,15.15,15.15,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'spanning top']",None,,,,17.50299999999998,0,0.22684525505842118,0.22684525505842118,0.22684525505842118,0.22684525505842118
2018/3/12,14.98,14.98,14.98,14.98,14.98,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'spanning top']",None,,,,17.223999999999982,0,0.22200056996295237,0.22200056996295237,0.22200056996295237,0.22200056996295237
2018/3/13,15.17,15.17,15.17,15.17,15.17,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'morning star', 'spanning top']",None,,,,16.994999999999983,0,0.22741521801082926,0.22741521801082926,0.22741521801082926,0.22741521801082926
2018/3/14,15.1,15.1,15.1,15.1,15.1,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'evening star', 'doji', 'spanning top']",None,,,,16.773999999999983,0,0.22542034767740093,0.22542034767740093,0.22542034767740093,0.22542034767740093
2018/3/15,14.91,14.91,14.91,14.91,14.91,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'spanning top']",None,,,,16.563499999999983,0,0.22000569962952404,0.22000569962952404,0.22000569962952404,0.22000569962952404
2018/3/16,14.82,14.82,14.82,14.82,14.82,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'spanning top']",None,,,,16.349499999999985,0,0.21744086634368764,0.21744086634368764,0.21744086634368764,0.21744086634368764
2018/3/19,15.79,15.79,15.79,15.79,15.79,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'morning star', 'spanning top']",None,,,,16.211999999999982,0,0.24508406953548012,0.24508406953548012,0.24508406953548012,0.24508406953548012
